기준일자,대륙명,국가명,목적구분,인원,전년동기,증감률
201001,대륙전체,연도,전체,569453,607659,-6.3
201001,대륙전체,연도,관광,400818,441688,-9.3
201001,대륙전체,연도,상용,22896,20545,11.4
201001,대륙전체,연도,공용,2738,2764,-0.9
201001,대륙전체,연도,유학연수,5118,4876,5
201001,대륙전체,연도,기타,137883,137786,0.1
201001,아시아,연도대륙,전체,433045,474653,-8.8
201001,아시아,연도대륙,관광,329131,369083,-10.8
201001,아시아,연도대륙,상용,18238,15595,16.9
201001,아시아,연도대륙,공용,421,353,19.3
201001,아시아,연도대륙,유학연수,4339,4265,1.7
201001,아시아,연도대륙,기타,80916,85357,-5.2
201001,아시아,중국,전체,91252,93007,-1.9
201001,아시아,중국,관광,40425,43607,-7.3
201001,아시아,중국,상용,11930,9752,22.3
201001,아시아,중국,공용,55,33,66.7
201001,아시아,중국,유학연수,2751,2901,-5.2
201001,아시아,중국,기타,36091,36714,-1.7
201001,아시아,일본,전체,209184,237816,-12
201001,아시아,일본,관광,202825,230303,-11.9
201001,아시아,일본,상용,1750,2353,-25.6
201001,아시아,일본,공용,89,109,-18.3
201001,아시아,일본,유학연수,549,508,8.1
201001,아시아,일본,기타,3971,4543,-12.6
201001,아시아,대만,전체,36399,37425,-2.7
201001,아시아,대만,관광,35788,36754,-2.6
201001,아시아,대만,상용,41,34,20.6
201001,아시아,대만,공용,17,27,-37
201001,아시아,대만,유학연수,37,67,-44.8
201001,아시아,대만,기타,516,543,-5
201001,아시아,홍콩,전체,14545,25207,-42.3
201001,아시아,홍콩,관광,13874,24409,-43.2
201001,아시아,홍콩,상용,55,35,57.1
201001,아시아,홍콩,공용,0,0,0
201001,아시아,홍콩,유학연수,21,9,133.3
201001,아시아,홍콩,기타,595,754,-21.1
201001,아시아,마카오,전체,554,955,-42
201001,아시아,마카오,관광,554,955,-42
201001,아시아,마카오,상용,0,0,0
201001,아시아,마카오,공용,0,0,0
201001,아시아,마카오,유학연수,0,0,0
201001,아시아,마카오,기타,0,0,0
201001,아시아,필리핀,전체,21214,21823,-2.8
201001,아시아,필리핀,관광,3984,3500,13.8
201001,아시아,필리핀,상용,219,129,69.8
201001,아시아,필리핀,공용,104,110,-5.5
201001,아시아,필리핀,유학연수,87,76,14.5
201001,아시아,필리핀,기타,16820,18008,-6.6
201001,아시아,인도네시아,전체,5061,5798,-12.7
201001,아시아,인도네시아,관광,1840,2541,-27.6
201001,아시아,인도네시아,상용,327,163,100.6
201001,아시아,인도네시아,공용,3,10,-70
201001,아시아,인도네시아,유학연수,65,42,54.8
201001,아시아,인도네시아,기타,2826,3042,-7.1
201001,아시아,태국,전체,17814,13947,27.7
201001,아시아,태국,관광,13374,8990,48.8
201001,아시아,태국,상용,39,32,21.9
201001,아시아,태국,공용,13,16,-18.8
201001,아시아,태국,유학연수,53,47,12.8
201001,아시아,태국,기타,4335,4862,-10.8
201001,아시아,베트남,전체,4515,5098,-11.4
201001,아시아,베트남,관광,1384,1434,-3.5
201001,아시아,베트남,상용,284,164,73.2
201001,아시아,베트남,공용,21,3,600
201001,아시아,베트남,유학연수,150,103,45.6
201001,아시아,베트남,기타,2676,3394,-21.2
201001,아시아,인도,전체,6026,5522,9.1
201001,아시아,인도,관광,1646,1816,-9.4
201001,아시아,인도,상용,1387,948,46.3
201001,아시아,인도,공용,7,6,16.7
201001,아시아,인도,유학연수,68,50,36
201001,아시아,인도,기타,2918,2702,8
201001,아시아,말레이시아,전체,4559,6714,-32.1
201001,아시아,말레이시아,관광,3292,5227,-37
201001,아시아,말레이시아,상용,61,24,154.2
201001,아시아,말레이시아,공용,0,1,-100
201001,아시아,말레이시아,유학연수,49,44,11.4
201001,아시아,말레이시아,기타,1157,1418,-18.4
201001,아시아,싱가포르,전체,5368,6418,-16.4
201001,아시아,싱가포르,관광,4201,4790,-12.3
201001,아시아,싱가포르,상용,120,67,79.1
201001,아시아,싱가포르,공용,3,1,200
201001,아시아,싱가포르,유학연수,27,14,92.9
201001,아시아,싱가포르,기타,1017,1546,-34.2
201001,아시아,몽골,전체,3324,3166,5
201001,아시아,몽골,관광,2333,1868,24.9
201001,아시아,몽골,상용,234,281,-16.7
201001,아시아,몽골,공용,6,3,100
201001,아시아,몽골,유학연수,197,195,1
201001,아시아,몽골,기타,554,819,-32.4
201001,아시아,우즈베키스탄,전체,1280,1256,1.9
201001,아시아,우즈베키스탄,관광,190,149,27.5
201001,아시아,우즈베키스탄,상용,293,383,-23.5
201001,아시아,우즈베키스탄,공용,17,2,750
201001,아시아,우즈베키스탄,유학연수,40,48,-16.7
201001,아시아,우즈베키스탄,기타,740,674,9.8
201001,아시아,미얀마,전체,4594,4163,10.4
201001,아시아,미얀마,관광,630,566,11.3
201001,아시아,미얀마,상용,18,17,5.9
201001,아시아,미얀마,공용,54,0,0
201001,아시아,미얀마,유학연수,10,3,233.3
201001,아시아,미얀마,기타,3882,3577,8.5
201001,아시아,GCC,전체,430,220,95.5
201001,아시아,GCC,관광,223,122,82.8
201001,아시아,GCC,상용,134,53,152.8
201001,아시아,GCC,공용,0,3,-100
201001,아시아,GCC,유학연수,18,12,50
201001,아시아,GCC,기타,55,30,83.3
201001,아시아,카자흐스탄,전체,419,416,0.7
201001,아시아,카자흐스탄,관광,238,237,0.4
201001,아시아,카자흐스탄,상용,48,39,23.1
201001,아시아,카자흐스탄,공용,4,1,300
201001,아시아,카자흐스탄,유학연수,22,22,0
201001,아시아,카자흐스탄,기타,107,117,-8.5
201001,아시아,터키,전체,969,665,45.7
201001,아시아,터키,관광,472,359,31.5
201001,아시아,터키,상용,15,23,-34.8
